Time,hotWaterPump,mashStirrer,controllerInfo,mashVolume,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1,dispenser2,hwtVolume
08:35:10.116650,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.33333333333,33.3,1,1,11.9818849564
08:35:15.121214,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.41666666667,33.3,1,1,11.9818849564
08:35:20.124634,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.5,33.3,1,1,11.9818849564
08:35:25.128629,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.58333333333,33.3,1,1,11.9818849564
08:35:30.133891,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.66666666667,33.3,1,1,11.9818849564
08:35:35.139167,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.75,33.3,1,1,11.9818849564
08:35:40.140644,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.83333333333,33.3,1,1,11.9818849564
08:35:45.144634,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.91666666667,33.3,1,1,11.9818849564
08:35:50.149897,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.0,33.3,1,1,11.9818849564
08:35:55.155171,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.08333333333,33.3,1,1,11.9818849564
08:36:00.159580,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.16666666667,33.3,1,1,11.9818849564
08:36:05.164873,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.25,33.3,1,1,11.9818849564
08:36:10.170162,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.33333333333,33.3,1,1,11.9818849564
08:36:15.172665,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.41666666667,33.3,1,1,11.9818849564
08:36:20.177972,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.5,33.3,1,1,11.9818849564
08:36:25.183236,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.58333333333,33.3,1,1,11.9818849564
08:36:30.188515,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.66666666667,33.3,1,1,11.9818849564
08:36:35.193811,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.75,33.3,1,1,11.9818849564
08:36:40.196650,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.83333333333,33.3,1,1,11.9818849564
08:36:45.200671,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,7.91666666667,33.3,1,1,11.9818849564
08:36:50.205967,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.0,33.3,1,1,11.9818849564
08:36:55.211213,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.08333333333,33.3,1,1,11.9818849564
08:37:00.216483,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.16666666667,33.3,1,1,11.9818849564
08:37:05.221765,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.25,33.3,1,1,11.9818849564
08:37:10.224650,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.33333333333,33.3,1,1,11.9818849564
08:37:15.228659,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.41666666667,33.3,1,1,11.9818849564
08:37:20.233954,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.5,33.3,1,1,11.9818849564
08:37:25.239217,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.58333333333,33.3,1,1,11.9818849564
08:37:30.244482,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.66666666667,33.3,1,1,11.9818849564
08:37:35.249756,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.75,33.3,1,1,11.9818849564
08:37:42.046394,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.88333333333,33.3,1,1,11.9818849564
08:37:47.051757,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,8.96666666667,33.3,1,1,11.9818849564
08:37:52.057000,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.05,33.3,1,1,11.9818849564
08:37:57.061980,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.13333333333,33.3,1,1,11.9818849564
08:38:02.067222,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.21666666667,33.3,1,1,11.9818849564
08:38:07.072455,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.3,33.3,1,1,11.9818849564
08:38:12.077715,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.38333333333,33.3,1,1,11.9818849564
08:38:17.080627,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.46666666667,33.3,1,1,11.9818849564
08:38:22.085867,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.55,33.3,1,1,11.9818849564
08:38:27.091097,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.63333333333,33.3,1,1,11.9818849564
08:38:32.096318,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.71666666667,33.3,1,1,11.9818849564
08:38:37.101555,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.8,33.3,1,1,11.9818849564
08:38:42.104641,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.88333333333,33.3,1,1,11.9818849564
08:38:47.108634,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,9.96666666667,33.3,1,1,11.9818849564
08:38:52.113887,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.05,33.3,1,1,11.9818849564
08:38:57.119124,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.1333333333,33.3,1,1,11.9818849564
08:39:02.124358,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.2166666667,33.3,1,1,11.9818849564
08:39:07.129596,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.3,33.3,1,1,11.9818849564
08:39:12.132613,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.3833333333,33.3,1,1,11.9818849564
08:39:17.136638,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.4666666667,33.3,1,1,11.9818849564
08:39:22.140629,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.55,33.3,1,1,11.9818849564
08:39:27.145867,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.6333333333,33.3,1,1,11.9818849564
08:39:32.151107,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.7166666667,33.3,1,1,11.9818849564
08:39:37.156344,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.8,33.3,1,1,11.9818849564
08:39:42.157982,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.8833333333,33.3,1,1,11.9818849564
08:39:47.158833,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,10.9666666667,33.3,1,1,11.9818849564
08:39:52.164090,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.05,33.3,1,1,11.9818849564
08:39:57.169322,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.1333333333,33.3,1,1,11.9818849564
08:40:02.175048,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.2166666667,33.3,1,1,11.9818849564
08:40:07.180304,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.3,33.3,1,1,11.9818849564
08:40:12.185551,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.3833333333,33.3,1,1,11.9818849564
08:40:17.188608,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.4666666667,33.3,1,1,11.9818849564
08:40:22.193800,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.55,33.3,1,1,11.9818849564
08:40:27.199029,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.6333333333,33.3,1,1,11.9818849564
08:40:32.204269,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.7166666667,33.3,1,1,11.9818849564
08:40:37.209507,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.8,33.3,1,1,11.9818849564
08:40:42.214754,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.8833333333,33.3,1,1,11.9818849564
08:40:47.219984,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,11.9666666667,33.3,1,1,11.9818849564
08:40:52.225225,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.05,33.3,1,1,11.9818849564
08:40:57.230457,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.1333333333,33.3,1,1,11.9818849564
08:41:02.235681,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.2166666667,33.3,1,1,11.9818849564
08:41:07.240913,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.3,33.3,1,1,11.9818849564
08:41:12.242441,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.3833333333,33.3,1,1,11.9818849564
08:41:17.247696,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.4666666667,33.3,1,1,11.9818849564
08:41:22.252941,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.55,33.3,1,1,11.9818849564
08:41:27.258177,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.6333333333,33.3,1,1,11.9818849564
08:41:32.263408,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.7166666667,33.3,1,1,11.9818849564
08:41:37.268640,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.8,33.3,1,1,11.9818849564
08:41:42.273877,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.8833333333,33.3,1,1,11.9818849564
08:41:47.276627,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,12.9666666667,33.3,1,1,11.9818849564
08:41:52.281883,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.05,33.3,1,1,11.9818849564
08:41:57.287121,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.1333333333,33.3,1,1,11.9818849564
