Time,hotWaterPump,mashStirrer,controllerInfo,dispenser2,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,dispenser1,envTemp,boiler,delayTimer,waterHeater
14:40:19.662187,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.525,209.975,44.6333333333,122.3375
14:40:25.349402,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.525,209.975,44.7166666667,122.3375
14:40:30.733974,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.6375,209.975,44.8333333333,122.3375
14:40:36.432398,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.6375,209.975,44.9166666667,122.3375
14:40:42.128435,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.75,209.975,45.0333333333,122.3375
14:40:51.879406,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,74.8625,209.975,0.15,122.3375
14:40:57.568037,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,74.975,209.975,0.233333333333,122.3375
14:41:03.754937,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,74.975,209.975,0.35,122.225
14:41:09.503684,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.3125,209.975,0.433333333333,122.1125
14:41:15.196395,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.425,209.975,0.55,122.0
14:41:21.887941,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.5375,209.975,0.65,121.8875
14:41:28.586531,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.65,209.975,0.75,122.0
14:41:34.284156,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.7625,209.8625,0.85,122.0
14:41:39.977666,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.7625,209.8625,0.95,121.8875
14:41:45.676142,0,0,0,0,0,209.8625,1,0,0,13.9050401691,0,1,0,1,75.7625,209.975,1.05,121.775
14:41:51.866422,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.875,209.975,1.15,121.775
14:41:57.559796,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.875,209.975,1.25,121.775
14:42:03.761452,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.9875,209.975,1.35,121.6625
14:42:09.949050,0,0,0,0,0,209.975,1,0,0,13.9050401691,0,1,0,1,75.875,210.0875,1.45,121.775
14:42:16.653058,0,0,0,0,0,210.0875,1,0,0,13.9050401691,0,1,0,1,75.875,210.0875,1.56666666667,121.6625
